,# Articles,Avg Word Count,Shooting Name Sum,Shooting Sum,Shooter Name Sum,# Killed,# Injured,Gender of Killed,Avg Age of Killed,Majority racialized victims,Shooter Age
# Articles,1.0,0.05461447346736403,0.9351779675071572,0.449499007154353,0.9076410445802432,0.8731270352073984,0.8816169080631602,0.41281504003237224,2.9043890815705353e-06,0.12841633723414758,0.33597659859808093
Avg Word Count,0.05461447346736381,1.0,0.01587876460046722,0.1383052817234991,0.03465576713227203,0.031087630410844724,0.025257026891437717,0.0016806482052136307,0.021306796260531113,0.01162289255541038,0.2743537602445534
Shooting Name Sum,0.9351779675071573,0.015878764600467332,1.0,0.32476695718716353,0.958825291677678,0.9596825303063972,0.9507233931242058,0.43967173942859583,0.0011809091529475513,0.14375910307622541,0.3843094872898777
Shooting Sum,0.44949900715435287,0.13830528172349899,0.32476695718716353,1.0,0.2925095184326757,0.3179909143354359,0.3313686004805212,0.3091822872873077,0.024154450701646346,0.24707936506403205,0.09313921513838885
Shooter Name Sum,0.9076410445802432,0.03465576713227225,0.958825291677678,0.2925095184326758,1.0,0.9819381282603578,0.9637419313684049,0.2986605516757269,6.932922159508248e-05,0.10495864892001294,0.48254803501891175
# Killed,0.8731270352073984,0.031087630410844946,0.9596825303063972,0.31799091433543614,0.9819381282603576,1.0,0.9726564976977953,0.3228987346504345,7.560106942028355e-06,0.1402030925455804,0.5041922978956513
# Injured,0.8816169080631602,0.02525702689143794,0.9507233931242058,0.3313686004805214,0.9637419313684049,0.9726564976977953,1.0,0.3208287977918216,0.008181801761602103,0.06981845880659587,0.5531782906938993
Gender of Killed,0.41281504003237224,0.0016806482052136307,0.4396717394285957,0.3091822872873079,0.2986605516757267,0.3228987346504345,0.3208287977918217,1.0,0.010638393632340648,0.13649416548927507,0.011839091576162142
Avg Age of Killed,2.9043890815705353e-06,0.021306796260531113,0.0011809091529476623,0.02415445070164668,6.93292215951935e-05,7.560106941917333e-06,0.008181801761602214,0.01063839363234087,1.0,0.013240195117355191,0.001987598239723276
Majority racialized victims,0.1284163372341477,0.011622892555410713,0.1437591030762253,0.24707936506403216,0.10495864892001294,0.1402030925455805,0.0698184588065961,0.13649416548927518,0.013240195117355191,1.0,0.041769515581610794
Shooter Age,0.33597659859808104,0.2743537602445538,0.384309487289878,0.09313921513838908,0.48254803501891186,0.5041922978956515,0.5531782906938996,0.01183909157616203,0.001987598239723165,0.04176951558161068,1.0
